City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,bethel,41.3712,-73.414,9.81,85,0,0.45,US,1682644966
152,zheleznogorsk,52.331,35.3711,10.61,97,100,3.05,RU,1682644974
153,yaren,-0.5472,166.916,28.77,76,20,7.15,NR,1682644975
154,aioun,16.6614,-9.6149,29.88,10,1,2.8,MR,1682644975
155,huarmey,-10.0681,-78.1522,24.19,82,91,4.28,PE,1682644975
156,san antonio de pale,-1.4014,5.6325,27.54,76,100,2.23,GQ,1682644693
157,enewetak,11.3474,162.3373,27.02,80,11,9.32,MH,1682644976
158,edeia,-17.3383,-49.9314,22.77,73,49,0.48,BR,1682644976
159,happy valley-goose bay,53.3168,-60.3315,6.17,61,20,4.63,CA,1682644976
160,cidreira,-30.1811,-50.2056,17.72,79,0,2.11,BR,1682644976
161,ararat,39.8317,44.7049,9.19,59,100,1.02,AM,1682644977
162,la passe,45.5549,-0.8967,14.13,91,100,1.43,FR,1682644977
163,ponta delgada,37.7333,-25.6667,17.4,82,20,7.72,PT,1682644977
164,ebon,4.582,168.6964,28.33,78,100,6.89,MH,1682644978
165,nyala,12.05,24.8833,26.24,56,87,2.53,SD,1682644978
166,ust'-barguzin,53.45,108.9833,1.05,80,88,1.97,RU,1682644978
167,barela,23.1,80.05,22.45,73,40,4.12,IN,1682644979
168,arkhangel'sk,64.5401,40.5433,-1.94,79,0,4.0,RU,1682644979
169,ankazoabo,-22.2833,44.5167,16.89,78,0,2.43,MG,1682644979
170,west island,-12.1568,96.8225,27.99,89,84,4.12,CC,1682644980
171,rubiataba,-15.1644,-49.8033,21.91,78,76,0.71,BR,1682644980
172,masterton,-40.9597,175.6575,14.94,65,21,1.72,NZ,1682644718
173,baikonur,45.6167,63.3167,16.23,23,4,4.42,KZ,1682644981
174,udachny,66.4167,112.4,-4.02,89,95,2.5,RU,1682644981
175,fauske,67.2588,15.3918,4.41,94,100,1.29,NO,1682644981
176,okha,53.5739,142.9478,0.23,93,100,4.85,RU,1682644982
177,akrehamn,59.2667,5.1833,3.01,86,62,2.06,NO,1682644982
178,isafjordur,66.0755,-23.124,-1.9,65,12,2.99,IS,1682644814
179,el kala,36.8956,8.4433,13.23,64,18,1.63,DZ,1682644983
180,utrik,11.2278,169.8474,26.8,83,79,8.63,MH,1682644983
